DATE,DAUTONSA
01/01/1967,564.1
01/02/1967,509.1
01/03/1967,670.4
01/04/1967,710.2
01/05/1967,744.8
01/06/1967,780.2
01/07/1967,627.2
01/08/1967,517.2
01/09/1967,547.3
01/10/1967,664.8
01/11/1967,617.8
01/12/1967,614.7
01/01/1968,630.2
01/02/1968,623.7
01/03/1968,766.8
01/04/1968,728.8
01/05/1968,811
01/06/1968,781
01/07/1968,736.6
01/08/1968,634.5
01/09/1968,563.3
01/10/1968,884.8
01/11/1968,785.4
01/12/1968,678.7
01/01/1969,645.4
01/02/1969,662.1
01/03/1969,722.3
01/04/1969,753.8
01/05/1969,794.7
01/06/1969,798.1
01/07/1969,662.3
01/08/1969,555
01/09/1969,709.4
01/10/1969,816.7
01/11/1969,705.9
01/12/1969,638.6
01/01/1970,539.2
01/02/1970,598.1
01/03/1970,646
01/04/1970,691.3
01/05/1970,698.6
01/06/1970,800.2
01/07/1970,640.9
01/08/1970,526.1
01/09/1970,488.5
01/10/1970,629.5
01/11/1970,435.5
01/12/1970,425.5
01/01/1971,584.6
01/02/1971,635
01/03/1971,753.9
01/04/1971,734.8
01/05/1971,745.7
01/06/1971,795.3
01/07/1971,666.2
01/08/1971,564.8
01/09/1971,755.9
01/10/1971,932
01/11/1971,846.2
01/12/1971,647.4
01/01/1972,605
01/02/1972,692.7
01/03/1972,765.7
01/04/1972,768.3
01/05/1972,880.2
01/06/1972,869.3
01/07/1972,762.4
01/08/1972,650.3
01/09/1972,735.1
01/10/1972,925.5
01/11/1972,884.4
01/12/1972,713.7
01/01/1973,729
01/02/1973,767.4
01/03/1973,954.7
01/04/1973,854.4
01/05/1973,962.5
01/06/1973,900.7
01/07/1973,800.9
01/08/1973,679.2
01/09/1973,748.8
01/10/1973,850.5
01/11/1973,772.2
01/12/1973,568.3
01/01/1974,545.4
01/02/1974,561.5
01/03/1974,645.3
01/04/1974,693.5
01/05/1974,756.6
01/06/1974,686.8
01/07/1974,681.1
01/08/1974,660
01/09/1974,586.1
01/10/1974,621.8
01/11/1974,500.2
01/12/1974,423.5
01/01/1975,457.6
01/02/1975,530.9
01/03/1975,517
01/04/1975,508.9
01/05/1975,592
01/06/1975,608.4
01/07/1975,626.7
01/08/1975,525.3
01/09/1975,581.8
01/10/1975,764.6
01/11/1975,646.5
01/12/1975,591.2
01/01/1976,580.1
01/02/1976,640.9
01/03/1976,804.1
01/04/1976,776.8
01/05/1976,781.9
01/06/1976,816.9
01/07/1976,725.9
01/08/1976,606.8
01/09/1976,637
01/10/1976,722.7
01/11/1976,713.2
01/12/1976,685.7
01/01/1977,592.8
01/02/1977,654.7
01/03/1977,880.4
01/04/1977,809.8
01/05/1977,821.3
01/06/1977,906.6
01/07/1977,720
01/08/1977,715.2
01/09/1977,646.5
01/10/1977,859.1
01/11/1977,727.4
01/12/1977,637.4
01/01/1978,538.1
01/02/1978,619.6
01/03/1978,869.2
01/04/1978,848.8
01/05/1978,947.1
01/06/1978,931.3
01/07/1978,745.9
01/08/1978,740.1
01/09/1978,653.7
01/10/1978,874.1
01/11/1978,759.2
01/12/1978,636.8
01/01/1979,635.6
01/02/1979,666.3
01/03/1979,852.6
01/04/1979,752.8
01/05/1979,786.9
01/06/1979,690.8
01/07/1979,679.6
01/08/1979,697.5
01/09/1979,592.8
01/10/1979,721.3
01/11/1979,599.6
01/12/1979,554.3
01/01/1980,588
01/02/1980,591.5
01/03/1980,670.4
01/04/1980,541
01/05/1980,498.7
01/06/1980,511.1
01/07/1980,542.4
01/08/1980,486.8
01/09/1980,486.1
01/10/1980,664.2
01/11/1980,529.6
01/12/1980,471.6
01/01/1981,470
01/02/1981,543.8
01/03/1981,719.2
01/04/1981,533.8
01/05/1981,524.3
01/06/1981,517.9
01/07/1981,497.4
01/08/1981,602.2
01/09/1981,518.9
01/10/1981,491.6
01/11/1981,432.1
01/12/1981,357.6
01/01/1982,368.2
01/02/1982,457.2
01/03/1982,576
01/04/1982,498.9
01/05/1982,584.5
01/06/1982,451.9
01/07/1982,430
01/08/1982,409.4
01/09/1982,488.5
01/10/1982,487.5
01/11/1982,558.1
01/12/1982,448
01/01/1983,414.1
01/02/1983,442.5
01/03/1983,600.3
01/04/1983,577.7
01/05/1983,630
01/06/1983,668.1
01/07/1983,576.9
01/08/1983,531
01/09/1983,538.3
01/10/1983,664.2
01/11/1983,590.5
01/12/1983,559.4
01/01/1984,583.4
01/02/1984,655
01/03/1984,756.2
01/04/1984,721.1
01/05/1984,803.3
01/06/1984,727.4
01/07/1984,684.1
01/08/1984,603.5
01/09/1984,566.7
01/10/1984,689.6
01/11/1984,600.7
01/12/1984,560.7
01/01/1985,628
01/02/1985,645.3
01/03/1985,768.9
01/04/1985,788.3
01/05/1985,807.6
01/06/1985,676.7
01/07/1985,633.5
01/08/1985,744.8
01/09/1985,839.4
01/10/1985,598.4
01/11/1985,515.8
01/12/1985,558
01/01/1986,635.9
01/02/1986,613.4
01/03/1986,649.4
01/04/1986,719.6
01/05/1986,786.3
01/06/1986,736.3
01/07/1986,648.7
01/08/1986,673.3
01/09/1986,924.9
01/10/1986,632.8
01/11/1986,521.1
01/12/1986,673.3
01/01/1987,427.8
01/02/1987,558.1
01/03/1987,683.4
01/04/1987,693.8
01/05/1987,622.3
01/06/1987,656.7
01/07/1987,611
01/08/1987,654
01/09/1987,613.2
01/10/1987,523.9
01/11/1987,486
01/12/1987,550.7
01/01/1988,531.2
01/02/1988,649.1
01/03/1988,733.7
01/04/1988,651.6
01/05/1988,702
01/06/1988,722.4
01/07/1988,605.3
01/08/1988,603
01/09/1988,578.8
01/10/1988,591.7
01/11/1988,553.8
01/12/1988,616.8
01/01/1989,512.1
01/02/1989,553.6
01/03/1989,641.7
01/04/1989,667.4
01/05/1989,710.5
01/06/1989,640.7
01/07/1989,603.4
01/08/1989,685.4
01/09/1989,609.7
01/10/1989,524.2
01/11/1989,473.6
01/12/1989,455.8
01/01/1990,546.8
01/02/1990,533.6
01/03/1990,625.8
01/04/1990,598.8
01/05/1990,644.3
01/06/1990,635.1
01/07/1990,595.8
01/08/1990,571.5
01/09/1990,584.8
01/10/1990,598.1
01/11/1990,485.8
01/12/1990,476.5
01/01/1991,421.1
01/02/1991,479
01/03/1991,545
01/04/1991,510.1
01/05/1991,581.1
01/06/1991,592.7
01/07/1991,585.3
01/08/1991,503.1
01/09/1991,498.2
01/10/1991,526.2
01/11/1991,457.6
01/12/1991,437.5
01/01/1992,417.3
01/02/1992,497.1
01/03/1992,541
01/04/1992,545.7
01/05/1992,565.1
01/06/1992,635.3
01/07/1992,573.1
01/08/1992,483
01/09/1992,515.6
01/10/1992,537.1
01/11/1992,464.7
01/12/1992,501.6
01/01/1993,435.8
01/02/1993,466.2
01/03/1993,581.5
01/04/1993,607.1
01/05/1993,639.5
01/06/1993,671.3
01/07/1993,598.9
01/08/1993,537.3
01/09/1993,554.1
01/10/1993,581.5
01/11/1993,538.4
01/12/1993,522.4
01/01/1994,488.5
01/02/1994,573.3
01/03/1994,700.5
01/04/1994,637.5
01/05/1994,661.4
01/06/1994,702.6
01/07/1994,562.9
01/08/1994,603.8
01/09/1994,599.9
01/10/1994,605.4
