DATE,UNXANO
01/02/1992,34095
01/03/1992,38808
01/04/1992,34840
01/05/1992,34557
01/06/1992,40582
01/07/1992,32578
01/08/1992,33874
01/09/1992,40599
01/10/1992,36634
01/11/1992,36968
01/12/1992,41875
01/01/1993,32942
01/02/1993,36180
01/03/1993,41217
01/04/1993,36725
01/05/1993,35986
01/06/1993,41990
01/07/1993,34445
01/08/1993,37126
01/09/1993,42777
01/10/1993,39880
01/11/1993,40104
01/12/1993,47061
01/01/1994,35603
01/02/1994,40979
01/03/1994,45806
01/04/1994,41284
01/05/1994,40779
01/06/1994,49067
01/07/1994,38263
01/08/1994,42246
01/09/1994,48695
01/10/1994,45533
01/11/1994,44983
01/12/1994,50223
01/01/1995,42629
01/02/1995,45785
01/03/1995,51930
01/04/1995,44023
01/05/1995,46332
01/06/1995,53540
01/07/1995,40132
01/08/1995,44665
01/09/1995,53961
01/10/1995,49638
01/11/1995,48844
01/12/1995,55290
01/01/1996,43364
01/02/1996,50577
01/03/1996,55519
01/04/1996,46081
01/05/1996,48230
01/06/1996,56383
01/07/1996,45169
01/08/1996,47604
01/09/1996,55286
01/10/1996,52030
01/11/1996,51080
01/12/1996,55851
01/01/1997,46338
01/02/1997,53877
01/03/1997,61241
01/04/1997,51554
01/05/1997,51281
01/06/1997,62721
01/07/1997,52355
01/08/1997,53356
01/09/1997,67170
01/10/1997,57237
01/11/1997,54844
01/12/1997,64145
01/01/1998,50712
01/02/1998,58520
01/03/1998,65995
01/04/1998,52884
01/05/1998,54982
01/06/1998,67063
01/07/1998,50247
01/08/1998,53455
01/09/1998,66657
01/10/1998,55593
01/11/1998,55516
01/12/1998,66655
01/01/1999,50057
01/02/1999,57443
01/03/1999,68252
01/04/1999,56099
01/05/1999,57158
01/06/1999,65869
01/07/1999,55180
01/08/1999,57253
01/09/1999,70226
01/10/1999,59930
01/11/1999,59619
01/12/1999,71003
01/01/2000,57431
01/02/2000,59012
01/03/2000,72174
01/04/2000,60777
01/05/2000,61352
01/06/2000,76000
01/07/2000,57277
01/08/2000,59490
01/09/2000,73857
01/10/2000,62435
01/11/2000,59675
01/12/2000,68274
01/01/2001,54789
01/02/2001,58757
01/03/2001,66159
01/04/2001,52483
01/05/2001,55075
01/06/2001,60955
01/07/2001,48041
01/08/2001,50545
01/09/2001,55526
01/10/2001,49122
01/11/2001,49081
01/12/2001,56411
01/01/2002,42593
01/02/2002,48245
01/03/2002,53237
01/04/2002,48651
01/05/2002,49952
01/06/2002,52808
01/07/2002,45381
01/08/2002,47923
01/09/2002,52645
01/10/2002,49228
01/11/2002,46710
01/12/2002,51775
01/01/2003,45229
01/02/2003,46971
01/03/2003,57476
01/04/2003,48031
01/05/2003,49613
01/06/2003,54492
01/07/2003,45561
01/08/2003,46848
01/09/2003,56572
01/10/2003,51632
01/11/2003,48722
01/12/2003,57028
01/01/2004,46266
01/02/2004,50217
01/03/2004,61977
01/04/2004,51675
01/05/2004,50771
01/06/2004,57576
01/07/2004,49185
01/08/2004,48915
01/09/2004,60727
01/10/2004,53476
01/11/2004,52645
01/12/2004,60567
01/01/2005,53370
01/02/2005,55156
01/03/2005,63568
01/04/2005,56980
01/05/2005,55425
01/06/2005,64137
01/07/2005,51825
01/08/2005,57706
01/09/2005,63690
01/10/2005,59706
01/11/2005,56866
01/12/2005,65367
01/01/2006,58172
01/02/2006,59887
01/03/2006,72879
01/04/2006,60704
01/05/2006,62738
01/06/2006,69480
01/07/2006,58343
01/08/2006,61667
01/09/2006,71877
01/10/2006,66857
01/11/2006,63207
01/12/2006,69345
01/01/2007,60139
01/02/2007,60734
01/03/2007,73859
01/04/2007,64513
01/05/2007,63229
01/06/2007,70237
01/07/2007,60008
01/08/2007,64099
01/09/2007,69708
01/10/2007,66299
01/11/2007,61930
01/12/2007,71910
01/01/2008,63731
01/02/2008,65235
01/03/2008,72546
01/04/2008,67856
01/05/2008,66473
01/06/2008,73198
01/07/2008,64022
01/08/2008,62770
01/09/2008,69613
01/10/2008,60881
01/11/2008,55636
01/12/2008,59849
01/01/2009,45682
01/02/2009,47322
01/03/2009,54938
01/04/2009,46315
01/05/2009,46761
01/06/2009,55197
01/07/2009,48200
01/08/2009,47421
01/09/2009,57279
01/10/2009,51947
01/11/2009,49255
01/12/2009,58347
01/01/2010,47134
01/02/2010,50436
01/03/2010,63118
01/04/2010,51744
01/05/2010,55846
01/06/2010,64224
01/07/2010,52328
01/08/2010,56381
01/09/2010,64631
01/10/2010,56611
01/11/2010,56901
01/12/2010,66138
01/01/2011,55385
01/02/2011,56143
01/03/2011,69755
01/04/2011,60383
01/05/2011,62974
01/06/2011,68875
01/07/2011,59257
01/08/2011,62979
01/09/2011,70513
01/10/2011,66419
01/11/2011,60608
01/12/2011,72293
01/01/2012,62299
01/02/2012,69034
01/03/2012,77598
01/04/2012,66877
01/05/2012,69316
01/06/2012,71778
01/07/2012,59381
01/08/2012,62602
01/09/2012,66541
01/10/2012,66182
01/11/2012,62333
01/12/2012,69536
01/01/2013,64788
01/02/2013,63919
01/03/2013,73671
01/04/2013,67664
01/05/2013,69328
01/06/2013,73355
01/07/2013,61501
01/08/2013,63923
01/09/2013,70329
01/10/2013,64743
01/11/2013,63111
01/12/2013,71236
01/01/2014,63199
01/02/2014,64724
01/03/2014,76155
01/04/2014,65971
01/05/2014,65137
01/06/2014,75107
01/07/2014,63224
01/08/2014,65558
01/09/2014,73719
01/10/2014,65584
01/11/2014,58607
01/12/2014,69896
01/01/2015,59644
01/02/2015,61435
01/03/2015,72368
01/04/2015,63841
01/05/2015,61091
01/06/2015,69943
01/07/2015,59693
01/08/2015,60945
01/09/2015,67377
01/10/2015,62488
01/11/2015,58153
01/12/2015,64257
01/01/2016,55932
01/02/2016,59888
01/03/2016,68054
01/04/2016,59804
01/05/2016,58440
01/06/2016,65006
01/07/2016,55018
01/08/2016,60683
01/09/2016,63489
01/10/2016,58299
01/11/2016,56297
01/12/2016,62548
01/01/2017,55830
01/02/2017,58038
01/03/2017,68519
01/04/2017,59176
01/05/2017,60922
01/06/2017,65635
01/07/2017,56670
01/08/2017,60780
01/09/2017,66791
01/10/2017,63376
01/11/2017,60772
01/12/2017,66162
01/01/2018,59504
01/02/2018,62448
01/03/2018,70866
01/04/2018,63663
01/05/2018,66446
01/06/2018,72319
01/07/2018,63923
01/08/2018,66726
01/09/2018,69413
01/10/2018,68296
01/11/2018,62696
01/12/2018,68352
01/01/2019,62755
01/02/2019,63858
01/03/2019,73508
01/04/2019,65764
01/05/2019,66323
01/06/2019,69700
01/07/2019,62184
01/08/2019,64433
01/09/2019,68096
01/10/2019,65667
01/11/2019,60024
01/12/2019,65902
01/01/2020,58383
01/02/2020,59385
01/03/2020,66527
01/04/2020,53938
01/05/2020,54361
01/06/2020,62702
01/07/2020,56495
01/08/2020,58088
01/09/2020,64873
01/10/2020,62210
01/11/2020,58739
01/12/2020,67052
01/01/2021,60206
01/02/2021,62392
01/03/2021,73299
01/04/2021,67121
01/05/2021,64775
01/06/2021,72603
01/07/2021,64016
01/08/2021,67616
01/09/2021,72310
01/10/2021,69422
01/11/2021,66834
01/12/2021,74818
01/01/2022,66262
01/02/2022,68215
01/03/2022,79164
01/04/2022,70347
01/05/2022,70942
01/06/2022,78088
01/07/2022,68070
01/08/2022,73170
01/09/2022,76367
01/10/2022,72867
01/11/2022,69005
01/12/2022,75544
01/01/2023,69979
01/02/2023,70055
01/03/2023,80632
01/04/2023,71065
01/05/2023,73243
01/06/2023,79168
01/07/2023,68342
01/08/2023,73585
01/09/2023,76763
01/10/2023,73467
01/11/2023,69976
01/12/2023,76177
01/01/2024,69661
01/02/2024,72184
