DATE,CEU3000000001
01/01/1967,17861
01/02/1967,17837
01/03/1967,17816
01/04/1967,17745
01/05/1967,17706
01/06/1967,17928
01/07/1967,17724
01/08/1967,17988
01/09/1967,18010
01/10/1967,17956
01/11/1967,18116
01/12/1967,18076
01/01/1968,17878
01/02/1968,17913
01/03/1968,17944
01/04/1968,17996
01/05/1968,18055
01/06/1968,18351
01/07/1968,18195
01/08/1968,18342
01/09/1968,18472
01/10/1968,18451
01/11/1968,18475
01/12/1968,18457
01/01/1969,18271
01/02/1969,18355
01/03/1969,18437
01/04/1969,18423
01/05/1969,18448
01/06/1969,18769
01/07/1969,18563
01/08/1969,18866
01/09/1969,18854
01/10/1969,18777
01/11/1969,18593
01/12/1969,18518
01/01/1970,18254
01/02/1970,18205
01/03/1970,18233
01/04/1970,18084
01/05/1970,17897
01/06/1970,18063
01/07/1970,17788
01/08/1970,17889
01/09/1970,17941
01/10/1970,17341
01/11/1970,17148
01/12/1970,17336
01/01/1971,17100
01/02/1971,17050
01/03/1971,17017
01/04/1971,17022
01/05/1971,17102
01/06/1971,17279
01/07/1971,17026
01/08/1971,17234
01/09/1971,17410
01/10/1971,17307
01/11/1971,17307
01/12/1971,17231
01/01/1972,17095
01/02/1972,17177
01/03/1972,17287
01/04/1972,17365
01/05/1972,17483
01/06/1972,17782
01/07/1972,17451
01/08/1972,17876
01/09/1972,18042
01/10/1972,18100
01/11/1972,18172
01/12/1972,18200
01/01/1973,18076
01/02/1973,18198
01/03/1973,18299
01/04/1973,18359
01/05/1973,18442
01/06/1973,18745
01/07/1973,18493
01/08/1973,18784
01/09/1973,18902
01/10/1973,18942
01/11/1973,18965
01/12/1973,18864
01/01/1974,18574
01/02/1974,18479
01/03/1974,18471
01/04/1974,18516
01/05/1974,18573
01/06/1974,18826
01/07/1974,18559
01/08/1974,18745
01/09/1974,18817
01/10/1974,18620
01/11/1974,18266
01/12/1974,17724
01/01/1975,17115
01/02/1975,16734
01/03/1975,16612
01/04/1975,16579
01/05/1975,16656
01/06/1975,16831
01/07/1975,16593
01/08/1975,16997
01/09/1975,17228
01/10/1975,17226
01/11/1975,17184
01/12/1975,17149
01/01/1976,17065
01/02/1976,17117
01/03/1976,17252
01/04/1976,17393
01/05/1976,17453
01/06/1976,17668
01/07/1976,17446
01/08/1976,17743
01/09/1976,17956
01/10/1976,17751
01/11/1976,17805
01/12/1976,17721
01/01/1977,17601
01/02/1977,17604
01/03/1977,17771
01/04/1977,17910
01/05/1977,18068
01/06/1977,18346
01/07/1977,18176
01/08/1977,18381
01/09/1977,18569
01/10/1977,18518
01/11/1977,18517
01/12/1977,18541
01/01/1978,18419
01/02/1978,18448
01/03/1978,18580
01/04/1978,18693
01/05/1978,18805
01/06/1978,19062
01/07/1978,18849
01/08/1978,19070
01/09/1978,19262
01/10/1978,19279
01/11/1978,19353
01/12/1978,19363
01/01/1979,19236
01/02/1979,19253
01/03/1979,19366
01/04/1979,19388
01/05/1979,19453
01/06/1979,19676
01/07/1979,19415
01/08/1979,19448
01/09/1979,19627
01/10/1979,19525
01/11/1979,19395
01/12/1979,19331
01/01/1980,19132
01/02/1980,19083
01/03/1980,19139
01/04/1980,18919
01/05/1980,18665
01/06/1980,18591
01/07/1980,18164
01/08/1980,18456
01/09/1980,18641
01/10/1980,18648
01/11/1980,18699
01/12/1980,18653
01/01/1981,18482
01/02/1981,18468
01/03/1981,18559
01/04/1981,18647
01/05/1981,18720
01/06/1981,18890
01/07/1981,18699
01/08/1981,18812
01/09/1981,18927
01/10/1981,18710
01/11/1981,18492
01/12/1981,18203
01/01/1982,17874
01/02/1982,17826
01/03/1982,17762
01/04/1982,17611
01/05/1982,17564
01/06/1982,17537
01/07/1982,17221
01/08/1982,17249
01/09/1982,17285
01/10/1982,16988
01/11/1982,16785
01/12/1982,16653
01/01/1983,16530
01/02/1983,16543
01/03/1983,16612
01/04/1983,16720
01/05/1983,16873
01/06/1983,17078
01/07/1983,17017
01/08/1983,17223
01/09/1983,17448
01/10/1983,17486
01/11/1983,17530
01/12/1983,17516
01/01/1984,17461
01/02/1984,17575
01/03/1984,17714
01/04/1984,17803
01/05/1984,17901
01/06/1984,18086
01/07/1984,17967
01/08/1984,18140
01/09/1984,18185
01/10/1984,18128
01/11/1984,18066
01/12/1984,18013
01/01/1985,17860
01/02/1985,17825
01/03/1985,17851
01/04/1985,17819
01/05/1985,17831
01/06/1985,17933
01/07/1985,17718
01/08/1985,17853
01/09/1985,17867
01/10/1985,17804
01/11/1985,17756
01/12/1985,17705
01/01/1986,17551
01/02/1986,17535
01/03/1986,17536
01/04/1986,17546
01/05/1986,17559
01/06/1986,17637
01/07/1986,17431
01/08/1986,17576
01/09/1986,17635
01/10/1986,17570
01/11/1986,17541
01/12/1986,17505
01/01/1987,17339
01/02/1987,17377
01/03/1987,17414
01/04/1987,17452
01/05/1987,17503
01/06/1987,17639
01/07/1987,17528
01/08/1987,17716
01/09/1987,17823
01/10/1987,17821
01/11/1987,17855
01/12/1987,17841
01/01/1988,17669
01/02/1988,17700
01/03/1988,17743
01/04/1988,17796
01/05/1988,17848
01/06/1988,18017
01/07/1988,17867
01/08/1988,17985
01/09/1988,18046
01/10/1988,18061
01/11/1988,18086
01/12/1988,18056
01/01/1989,17939
01/02/1989,17925
01/03/1989,17949
01/04/1989,17968
01/05/1989,17996
01/06/1989,18111
01/07/1989,17930
01/08/1989,18070
01/09/1989,18062
01/10/1989,17997
01/11/1989,17967
01/12/1989,17909
01/01/1990,17649
01/02/1990,17727
01/03/1990,17723
01/04/1990,17734
01/05/1990,17748
01/06/1990,17870
01/07/1990,17691
01/08/1990,17803
01/09/1990,17786
01/10/1990,17694
01/11/1990,17501
01/12/1990,17413
01/01/1991,17184
01/02/1991,17053
01/03/1991,17001
01/04/1991,16987
01/05/1991,17037
01/06/1991,17134
01/07/1991,17001
01/08/1991,17175
01/09/1991,17178
01/10/1991,17110
01/11/1991,17027
01/12/1991,16932
01/01/1992,16703
01/02/1992,16679
01/03/1992,16677
01/04/1992,16733
01/05/1992,16795
01/06/1992,16917
01/07/1992,16813
01/08/1992,16905
01/09/1992,16914
01/10/1992,16845
01/11/1992,16822
01/12/1992,16781
01/01/1993,16661
01/02/1993,16671
01/03/1993,16681
01/04/1993,16684
01/05/1993,16733
01/06/1993,16834
01/07/1993,16726
01/08/1993,16853
01/09/1993,16891
01/10/1993,16869
01/11/1993,16856
01/12/1993,16824
01/01/1994,16722
01/02/1994,16744
01/03/1994,16799
01/04/1994,16855
01/05/1994,16932
01/06/1994,17103
01/07/1994,16991
01/08/1994,17183
01/09/1994,17222
01/10/1994,17226
01/11/1994,17238
01/12/1994,17230
01/01/1995,17133
01/02/1995,17158
01/03/1995,17177
01/04/1995,17206
01/05/1995,17234
01/06/1995,17342
01/07/1995,17177
01/08/1995,17335
01/09/1995,17341
01/10/1995,17290
01/11/1995,17248
01/12/1995,17251
01/01/1996,17083
01/02/1996,17130
01/03/1996,17113
01/04/1996,17137
01/05/1996,17210
01/06/1996,17323
01/07/1996,17181
01/08/1996,17362
01/09/1996,17348
01/10/1996,17333
01/11/1996,17312
01/12/1996,17308
01/01/1997,17183
01/02/1997,17223
01/03/1997,17268
01/04/1997,17288
01/05/1997,17356
01/06/1997,17485
01/07/1997,17352
01/08/1997,17553
01/09/1997,17550
01/10/1997,17563
01/11/1997,17597
01/12/1997,17613
01/01/1998,17511
01/02/1998,17536
01/03/1998,17569
01/04/1998,17580
01/05/1998,17607
01/06/1998,17709
01/07/1998,17404
