DATE,CEU3100000001
01/01/1967,10998
01/02/1967,10984
01/03/1967,10966
01/04/1967,10914
01/05/1967,10901
01/06/1967,10993
01/07/1967,10836
01/08/1967,10904
01/09/1967,10901
01/10/1967,10879
01/11/1967,11079
01/12/1967,11074
01/01/1968,11008
01/02/1968,11002
01/03/1968,11015
01/04/1968,11068
01/05/1968,11091
01/06/1968,11230
01/07/1968,11135
01/08/1968,11065
01/09/1968,11212
01/10/1968,11220
01/11/1968,11291
01/12/1968,11307
01/01/1969,11271
01/02/1969,11298
01/03/1969,11351
01/04/1969,11352
01/05/1969,11362
01/06/1969,11541
01/07/1969,11386
01/08/1969,11491
01/09/1969,11527
01/10/1969,11507
01/11/1969,11345
01/12/1969,11318
01/01/1970,11151
01/02/1970,11104
01/03/1970,11141
01/04/1970,11034
01/05/1970,10901
01/06/1970,10937
01/07/1970,10720
01/08/1970,10672
01/09/1970,10762
01/10/1970,10253
01/11/1970,10116
01/12/1970,10358
01/01/1971,10238
01/02/1971,10193
01/03/1971,10161
01/04/1971,10174
01/05/1971,10226
01/06/1971,10311
01/07/1971,10130
01/08/1971,10154
01/09/1971,10315
01/10/1971,10280
01/11/1971,10297
01/12/1971,10273
01/01/1972,10234
01/02/1972,10291
01/03/1972,10371
01/04/1972,10447
01/05/1972,10533
01/06/1972,10690
01/07/1972,10465
01/08/1972,10685
01/09/1972,10841
01/10/1972,10924
01/11/1972,11010
01/12/1972,11070
01/01/1973,11035
01/02/1973,11127
01/03/1973,11203
01/04/1973,11270
01/05/1973,11346
01/06/1973,11524
01/07/1973,11382
01/08/1973,11472
01/09/1973,11598
01/10/1973,11653
01/11/1973,11696
01/12/1973,11656
01/01/1974,11479
01/02/1974,11395
01/03/1974,11392
01/04/1974,11472
01/05/1974,11503
01/06/1974,11656
01/07/1974,11486
01/08/1974,11494
01/09/1974,11590
01/10/1974,11500
01/11/1974,11283
01/12/1974,10932
01/01/1975,10552
01/02/1975,10282
01/03/1975,10204
01/04/1975,10160
01/05/1975,10171
01/06/1975,10231
01/07/1975,10025
01/08/1975,10188
01/09/1975,10361
01/10/1975,10346
01/11/1975,10332
01/12/1975,10334
01/01/1976,10312
01/02/1976,10335
01/03/1976,10441
01/04/1976,10555
01/05/1976,10635
01/06/1976,10755
01/07/1976,10600
01/08/1976,10734
01/09/1976,10888
01/10/1976,10756
01/11/1976,10844
01/12/1976,10821
01/01/1977,10768
01/02/1977,10740
01/03/1977,10872
01/04/1977,10973
01/05/1977,11083
01/06/1977,11239
01/07/1977,11151
01/08/1977,11194
01/09/1977,11361
01/10/1977,11364
01/11/1977,11390
01/12/1977,11450
01/01/1978,11406
01/02/1978,11418
01/03/1978,11507
01/04/1978,11608
01/05/1978,11689
01/06/1978,11833
01/07/1978,11723
01/08/1978,11787
01/09/1978,11969
01/10/1978,12034
01/11/1978,12111
01/12/1978,12149
01/01/1979,12098
01/02/1979,12121
01/03/1979,12208
01/04/1979,12239
01/05/1979,12276
01/06/1979,12402
01/07/1979,12235
01/08/1979,12135
01/09/1979,12325
01/10/1979,12257
01/11/1979,12179
01/12/1979,12165
01/01/1980,12038
01/02/1980,12031
01/03/1980,12077
01/04/1980,11879
01/05/1980,11639
01/06/1980,11536
01/07/1980,11242
01/08/1980,11338
01/09/1980,11511
01/10/1980,11562
01/11/1980,11648
01/12/1980,11644
01/01/1981,11557
01/02/1981,11530
01/03/1981,11609
01/04/1981,11682
01/05/1981,11714
01/06/1981,11805
01/07/1981,11665
01/08/1981,11655
01/09/1981,11752
01/10/1981,11624
01/11/1981,11471
01/12/1981,11270
01/01/1982,11073
01/02/1982,11023
01/03/1982,10992
01/04/1982,10872
01/05/1982,10816
01/06/1982,10758
01/07/1982,10546
01/08/1982,10433
01/09/1982,10460
01/10/1982,10229
01/11/1982,10096
01/12/1982,10026
01/01/1983,9968
01/02/1983,9981
01/03/1983,10033
01/04/1983,10113
01/05/1983,10219
01/06/1983,10329
01/07/1983,10309
01/08/1983,10381
01/09/1983,10561
01/10/1983,10622
01/11/1983,10686
01/12/1983,10708
01/01/1984,10703
01/02/1984,10792
01/03/1984,10905
01/04/1984,10968
01/05/1984,11039
01/06/1984,11154
01/07/1984,11089
01/08/1984,11156
01/09/1984,11222
01/10/1984,11204
01/11/1984,11186
01/12/1984,11176
01/01/1985,11100
01/02/1985,11075
01/03/1985,11101
01/04/1985,11077
01/05/1985,11082
01/06/1985,11120
01/07/1985,10965
01/08/1985,10987
01/09/1985,11007
01/10/1985,10986
01/11/1985,10968
01/12/1985,10942
01/01/1986,10858
01/02/1986,10840
01/03/1986,10840
01/04/1986,10847
01/05/1986,10842
01/06/1986,10847
01/07/1986,10708
01/08/1986,10748
01/09/1986,10791
01/10/1986,10750
01/11/1986,10743
01/12/1986,10725
01/01/1987,10630
01/02/1987,10658
01/03/1987,10681
01/04/1987,10698
01/05/1987,10723
01/06/1987,10785
01/07/1987,10678
01/08/1987,10774
01/09/1987,10863
01/10/1987,10881
01/11/1987,10913
01/12/1987,10923
01/01/1988,10811
01/02/1988,10832
01/03/1988,10867
01/04/1988,10917
01/05/1988,10944
01/06/1988,11033
01/07/1988,10944
01/08/1988,10976
01/09/1988,11039
01/10/1988,11064
01/11/1988,11099
01/12/1988,11098
01/01/1989,11038
01/02/1989,11020
01/03/1989,11032
01/04/1989,11050
01/05/1989,11056
01/06/1989,11090
01/07/1989,10950
01/08/1989,10994
01/09/1989,10996
01/10/1989,10957
01/11/1989,10947
01/12/1989,10917
01/01/1990,10722
01/02/1990,10811
01/03/1990,10813
01/04/1990,10812
01/05/1990,10823
01/06/1990,10869
01/07/1990,10738
01/08/1990,10746
01/09/1990,10736
01/10/1990,10693
01/11/1990,10563
01/12/1990,10523
01/01/1991,10382
01/02/1991,10267
01/03/1991,10234
01/04/1991,10232
01/05/1991,10254
01/06/1991,10271
01/07/1991,10171
01/08/1991,10213
01/09/1991,10222
01/10/1991,10184
01/11/1991,10136
01/12/1991,10077
01/01/1992,9929
01/02/1992,9916
01/03/1992,9919
01/04/1992,9949
01/05/1992,9983
01/06/1992,10024
01/07/1992,9924
01/08/1992,9946
01/09/1992,9964
01/10/1992,9932
01/11/1992,9941
01/12/1992,9922
01/01/1993,9865
01/02/1993,9866
01/03/1993,9875
01/04/1993,9877
01/05/1993,9892
01/06/1993,9925
01/07/1993,9837
