#monthly_date,#quarterly_date,#monthly_house,#quarters,#quarterly_house
01/01/1959,1959 Q1,96.2,1959 Q1,322.9
01/02/1959,1959 Q1,99,1959 Q2,451.1
01/03/1959,1959 Q1,127.7,1959 Q3,422.7
01/04/1959,1959 Q2,150.8,1959 Q4,320.3
01/05/1959,1959 Q2,152.5,1960 Q1,267.2
01/06/1959,1959 Q2,147.8,1960 Q2,376
01/07/1959,1959 Q3,148.1,1960 Q3,341.5
01/08/1959,1959 Q3,138.2,1960 Q4,267.4
01/09/1959,1959 Q3,136.4,1961 Q1,248.7
01/10/1959,1959 Q4,120,1961 Q2,375.2
01/11/1959,1959 Q4,104.7,1961 Q3,379.1
01/12/1959,1959 Q4,95.6,1961 Q4,310
01/01/1960,1960 Q1,86,1962 Q1,274.5
01/02/1960,1960 Q1,90.7,1962 Q2,439.8
01/03/1960,1960 Q1,90.5,1962 Q3,398.5
01/04/1960,1960 Q2,123,1962 Q4,350
01/05/1960,1960 Q2,130.2,1963 Q1,293.4
01/06/1960,1960 Q2,122.8,1963 Q2,491.1
01/07/1960,1960 Q3,114.3,1963 Q3,439
01/08/1960,1960 Q3,130.3,1963 Q4,379.6
01/09/1960,1960 Q3,96.9,1964 Q1,328.3
01/10/1960,1960 Q4,110.4,1964 Q2,457.1
01/11/1960,1960 Q4,92.8,1964 Q3,398.7
01/12/1960,1960 Q4,64.2,1964 Q4,344.8
01/01/1961,1961 Q1,70.4,1965 Q1,282.5
01/02/1961,1961 Q1,74.1,1965 Q2,453.7
01/03/1961,1961 Q1,104.2,1965 Q3,392
01/04/1961,1961 Q2,112.8,1965 Q4,344.7
01/05/1961,1961 Q2,127.6,1966 Q1,273.7
01/06/1961,1961 Q2,134.8,1966 Q2,391.5
01/07/1961,1961 Q3,126.6,1966 Q3,290.1
01/08/1961,1961 Q3,127.1,1966 Q4,209.6
01/09/1961,1961 Q3,125.4,1967 Q1,212
01/10/1961,1961 Q4,124.8,1967 Q2,371.1
01/11/1961,1961 Q4,103,1967 Q3,374.6
01/12/1961,1961 Q4,82.2,1967 Q4,333.9
01/01/1962,1962 Q1,81.2,1968 Q1,291.7
01/02/1962,1962 Q1,77.1,1968 Q2,440.8
01/03/1962,1962 Q1,116.2,1968 Q3,410.6
01/04/1962,1962 Q2,147.8,1968 Q4,364.3
01/05/1962,1962 Q2,155.2,1969 Q1,323.5
01/06/1962,1962 Q2,136.8,1969 Q2,461.8
01/07/1962,1962 Q3,136.5,1969 Q3,379.4
01/08/1962,1962 Q3,147.7,1969 Q4,302.1
01/09/1962,1962 Q3,114.3,1970 Q1,255.4
01/10/1962,1962 Q4,135.2,1970 Q2,388.6
01/11/1962,1962 Q4,120.9,1970 Q3,400.4
01/12/1962,1962 Q4,93.9,1970 Q4,389.2
01/01/1963,1963 Q1,79,1971 Q1,380.7
01/02/1963,1963 Q1,89.6,1971 Q2,593.4
