DATE,CEU3000000007
01/01/1939,36.7
01/02/1939,37.3
01/03/1939,37.5
01/04/1939,36.8
01/05/1939,36.9
01/06/1939,37.4
01/07/1939,36.8
01/08/1939,38.2
01/09/1939,38.1
01/10/1939,39.3
01/11/1939,38.8
01/12/1939,38.8
01/01/1940,37.5
01/02/1940,37.4
01/03/1940,37.7
01/04/1940,37.3
01/05/1940,37.4
01/06/1940,37.6
01/07/1940,37.4
01/08/1940,38.6
01/09/1940,39
01/10/1940,39.5
01/11/1940,38.8
01/12/1940,40
01/01/1941,39.1
01/02/1941,40.3
01/03/1941,40.6
01/04/1941,40.2
01/05/1941,40.8
01/06/1941,41.4
01/07/1941,40.5
01/08/1941,41.3
01/09/1941,41.2
01/10/1941,41.3
01/11/1941,40.6
01/12/1941,41.3
01/01/1942,41.9
01/02/1942,42.6
01/03/1942,43
01/04/1942,42.9
01/05/1942,43.1
01/06/1942,43.1
01/07/1942,42.8
01/08/1942,43.3
01/09/1942,42.7
01/10/1942,43.9
01/11/1942,44.3
01/12/1942,44.6
01/01/1943,44.4
01/02/1943,44.7
01/03/1943,44.9
01/04/1943,45.3
01/05/1943,45.5
01/06/1943,45.4
01/07/1943,44.7
01/08/1943,45.3
01/09/1943,45
01/10/1943,45.6
01/11/1943,45.7
01/12/1943,45
01/01/1944,45.4
01/02/1944,45.5
01/03/1944,45.5
01/04/1944,45.1
01/05/1944,45.4
01/06/1944,45.6
01/07/1944,44.7
01/08/1944,45.3
01/09/1944,45
01/10/1944,45.7
01/11/1944,45.4
01/12/1944,45.8
01/01/1945,45.6
01/02/1945,45.6
01/03/1945,45.5
01/04/1945,45.3
01/05/1945,44.3
01/06/1945,44.8
01/07/1945,44.1
01/08/1945,40.8
01/09/1945,41.4
01/10/1945,41.6
01/11/1945,41.2
01/12/1945,41.5
01/01/1946,41
01/02/1946,40.5
01/03/1946,40.7
01/04/1946,40.5
01/05/1946,39.7
01/06/1946,40
01/07/1946,39.7
01/08/1946,40.5
01/09/1946,40.3
01/10/1946,40.5
01/11/1946,40.3
01/12/1946,41
01/01/1947,40.7
01/02/1947,40.5
01/03/1947,40.5
01/04/1947,40.2
01/05/1947,40.2
01/06/1947,40.4
01/07/1947,40
01/08/1947,40
01/09/1947,40.5
01/10/1947,40.7
01/11/1947,40.6
01/12/1947,41.3
01/01/1948,40.6
01/02/1948,40.2
01/03/1948,40.4
01/04/1948,40.1
01/05/1948,39.9
01/06/1948,40.2
01/07/1948,39.8
01/08/1948,40.2
01/09/1948,39.9
01/10/1948,40
01/11/1948,39.9
01/12/1948,40.1
01/01/1949,39.5
01/02/1949,39.4
01/03/1949,39.1
01/04/1949,38.4
01/05/1949,38.6
01/06/1949,38.9
01/07/1949,38.9
01/08/1949,39.2
01/09/1949,39.7
01/10/1949,39.8
01/11/1949,39.1
01/12/1949,39.9
01/01/1950,39.7
01/02/1950,39.7
01/03/1950,39.7
01/04/1950,39.8
01/05/1950,40
01/06/1950,40.5
01/07/1950,40.6
01/08/1950,41.2
01/09/1950,41
01/10/1950,41.3
01/11/1950,41.1
01/12/1950,41.5
01/01/1951,41
01/02/1951,40.9
01/03/1951,41.1
01/04/1951,41
01/05/1951,40.7
01/06/1951,40.8
01/07/1951,40.3
01/08/1951,40.4
01/09/1951,40.7
01/10/1951,40.5
01/11/1951,40.5
01/12/1951,41.2
01/01/1952,40.8
01/02/1952,40.8
01/03/1952,40.7
01/04/1952,39.8
01/05/1952,40.2
01/06/1952,40.5
01/07/1952,39.9
01/08/1952,40.6
01/09/1952,41.3
01/10/1952,41.4
01/11/1952,41.3
01/12/1952,41.8
01/01/1953,41.1
01/02/1953,41
01/03/1953,41.2
01/04/1953,40.8
01/05/1953,40.8
01/06/1953,40.8
01/07/1953,40.4
01/08/1953,40.6
01/09/1953,40
01/10/1953,40.4
01/11/1953,40.1
01/12/1953,40.3
01/01/1954,39.5
01/02/1954,39.6
01/03/1954,39.5
01/04/1954,39.1
01/05/1954,39.4
01/06/1954,39.7
01/07/1954,39.5
01/08/1954,39.8
01/09/1954,39.8
01/10/1954,39.9
01/11/1954,40.3
01/12/1954,40.6
01/01/1955,40.3
01/02/1955,40.5
01/03/1955,40.7
01/04/1955,40.3
01/05/1955,40.9
01/06/1955,40.8
01/07/1955,40.5
01/08/1955,40.7
01/09/1955,41
01/10/1955,41.2
01/11/1955,41.3
01/12/1955,41.4
01/01/1956,40.7
01/02/1956,40.5
01/03/1956,40.4
01/04/1956,40.3
01/05/1956,40.1
01/06/1956,40.3
01/07/1956,40.2
01/08/1956,40.3
01/09/1956,40.8
01/10/1956,40.8
01/11/1956,40.6
01/12/1956,41.1
01/01/1957,40.2
01/02/1957,40.3
01/03/1957,40.2
01/04/1957,39.9
01/05/1957,39.8
01/06/1957,40.1
01/07/1957,39.9
01/08/1957,40.1
01/09/1957,40.1
01/10/1957,39.6
01/11/1957,39.4
01/12/1957,39.5
01/01/1958,38.7
01/02/1958,38.4
01/03/1958,38.6
01/04/1958,38.4
01/05/1958,38.7
01/06/1958,39.2
01/07/1958,39.2
01/08/1958,39.6
01/09/1958,39.9
01/10/1958,39.8
01/11/1958,40
01/12/1958,40.2
01/01/1959,40
01/02/1959,39.9
01/03/1959,40.2
01/04/1959,40.4
01/05/1959,40.6
01/06/1959,40.8
01/07/1959,40.3
01/08/1959,40.6
01/09/1959,40.4
01/10/1959,40.3
01/11/1959,40
01/12/1959,40.6
01/01/1960,40.3
01/02/1960,39.9
01/03/1960,39.7
01/04/1960,39.5
01/05/1960,40.1
01/06/1960,40.2
01/07/1960,39.9
01/08/1960,39.9
01/09/1960,39.7
01/10/1960,39.8
01/11/1960,39.4
01/12/1960,38.7
01/01/1961,39
01/02/1961,39
01/03/1961,39.2
01/04/1961,39.4
01/05/1961,39.8
01/06/1961,40.2
01/07/1961,40.1
01/08/1961,40.3
01/09/1961,39.8
01/10/1961,40.4
01/11/1961,40.7
01/12/1961,40.7
01/01/1962,39.8
01/02/1962,40.1
01/03/1962,40.4
01/04/1962,40.5
01/05/1962,40.6
01/06/1962,40.8
01/07/1962,40.5
01/08/1962,40.5
01/09/1962,40.7
01/10/1962,40.5
01/11/1962,40.5
01/12/1962,40.6
01/01/1963,40.1
01/02/1963,40.1
01/03/1963,40.3
01/04/1963,40
01/05/1963,40.6
01/06/1963,41
