DATE,IPB51100N
01/01/1967,32.0953
01/02/1967,31.5655
01/03/1967,32.1898
01/04/1967,32.6203
01/05/1967,31.768
01/06/1967,32.6068
01/07/1967,26.3633
01/08/1967,27.0643
01/09/1967,33.0111
01/10/1967,34.3365
01/11/1967,34.9926
01/12/1967,35.4874
01/01/1968,34.0886
01/02/1968,35.3156
01/03/1968,36.2309
01/04/1968,35.1659
01/05/1968,36.0954
01/06/1968,37.565
01/07/1968,30.8213
01/08/1968,28.4679
01/09/1968,36.8356
01/10/1968,39.8055
01/11/1968,39.9181
01/12/1968,37.5505
01/01/1969,37.5646
01/02/1969,38.309
01/03/1969,39.2706
01/04/1969,37.5008
01/05/1969,37.0592
01/06/1969,39.3286
01/07/1969,31.0485
01/08/1969,33.2644
01/09/1969,39.2258
01/10/1969,40.7276
01/11/1969,37.6043
01/12/1969,35.1895
01/01/1970,33.7548
01/02/1970,35.2577
01/03/1970,36.23
01/04/1970,35.591
01/05/1970,35.9209
01/06/1970,37.5439
01/07/1970,30.8024
01/08/1970,30.9745
01/09/1970,34.8755
01/10/1970,33.6433
01/11/1970,32.562
01/12/1970,34.2934
01/01/1971,36.4867
01/02/1971,38.8242
01/03/1971,39.313
01/04/1971,38.9828
01/05/1971,39.8309
01/06/1971,40.589
01/07/1971,33.4042
01/08/1971,35.9068
01/09/1971,40.8124
01/10/1971,42.994
01/11/1971,41.5997
01/12/1971,37.4109
01/01/1972,40.9843
01/02/1972,42.558
01/03/1972,42.5964
01/04/1972,44.7964
01/05/1972,43.9139
01/06/1972,44.6862
01/07/1972,37.5473
01/08/1972,40.5114
01/09/1972,45.3463
01/10/1972,47.8032
01/11/1972,46.8562
01/12/1972,44.0532
01/01/1973,45.6693
01/02/1973,48.6259
01/03/1973,49.3425
01/04/1973,48.419
01/05/1973,48.3644
01/06/1973,49.686
01/07/1973,43.5442
01/08/1973,42.0614
01/09/1973,47.7303
01/10/1973,49.4783
01/11/1973,47.7083
01/12/1973,41.9996
01/01/1974,41.9852
01/02/1974,43.2975
01/03/1974,43.9913
01/04/1974,43.8779
01/05/1974,44.3051
01/06/1974,45.9368
01/07/1974,40.6071
01/08/1974,41.3536
01/09/1974,44.5932
01/10/1974,45.6052
01/11/1974,41.5105
01/12/1974,35.2079
01/01/1975,34.5726
01/02/1975,34.8586
01/03/1975,35.7956
01/04/1975,38.0347
01/05/1975,38.6629
01/06/1975,39.9169
01/07/1975,36.678
01/08/1975,38.9395
01/09/1975,42.2071
01/10/1975,43.1715
01/11/1975,41.5008
01/12/1975,38.9308
01/01/1976,40.8533
01/02/1976,43.285
01/03/1976,44.2408
01/04/1976,44.105
01/05/1976,44.7253
01/06/1976,45.4199
01/07/1976,39.2639
01/08/1976,41.1398
01/09/1976,44.1905
01/10/1976,46.6412
01/11/1976,46.0889
01/12/1976,43.5855
01/01/1977,44.5326
01/02/1977,47.2009
01/03/1977,49.8475
01/04/1977,50.223
01/05/1977,50.5284
01/06/1977,52.4708
01/07/1977,46.5226
01/08/1977,46.0396
01/09/1977,50.6126
01/10/1977,52.9671
01/11/1977,50.6443
01/12/1977,47.5416
01/01/1978,46.1508
01/02/1978,49.4393
01/03/1978,51.6112
01/04/1978,53.9071
01/05/1978,52.0837
01/06/1978,52.923
01/07/1978,46.6295
01/08/1978,46.891
01/09/1978,51.4149
01/10/1978,53.5914
01/11/1978,51.3484
01/12/1978,48.238
01/01/1979,48.4513
01/02/1979,50.855
01/03/1979,52.4459
01/04/1979,48.7381
01/05/1979,51.0949
01/06/1979,51.397
01/07/1979,45.0365
01/08/1979,43.9911
01/09/1979,48.6935
01/10/1979,50.0483
01/11/1979,47.1645
01/12/1979,44.3952
01/01/1980,43.6669
01/02/1980,45.3866
01/03/1980,45.8519
01/04/1980,43.3564
01/05/1980,40.64
01/06/1980,40.7257
01/07/1980,36.9103
01/08/1980,38.5191
01/09/1980,42.4418
01/10/1980,44.1755
01/11/1980,43.446
01/12/1980,40.8555
01/01/1981,40.8094
01/02/1981,42.2661
01/03/1981,43.9715
01/04/1981,43.9941
01/05/1981,44.8155
01/06/1981,45.3013
01/07/1981,41.4809
01/08/1981,42.2553
01/09/1981,43.1896
01/10/1981,44.3204
01/11/1981,41.9964
01/12/1981,38.588
01/01/1982,37.5261
01/02/1982,40.1694
01/03/1982,41.0171
01/04/1982,41.5845
01/05/1982,41.4927
01/06/1982,42.5905
01/07/1982,39.0277
01/08/1982,39.4084
01/09/1982,40.8842
01/10/1982,41.4233
01/11/1982,39.8112
01/12/1982,37.882
01/01/1983,39.9055
01/02/1983,41.3009
01/03/1983,43.0081
01/04/1983,43.7651
01/05/1983,44.3042
01/06/1983,45.9395
01/07/1983,42.3431
01/08/1983,44.154
01/09/1983,47.6513
01/10/1983,49.7917
01/11/1983,47.7594
01/12/1983,46.5247
01/01/1984,48.1542
01/02/1984,50.2311
01/03/1984,51.7925
01/04/1984,51.3413
01/05/1984,50.5596
01/06/1984,51.7061
01/07/1984,46.827
01/08/1984,48.7453
01/09/1984,50.8533
01/10/1984,51.8555
01/11/1984,50.5931
01/12/1984,48.2592
01/01/1985,48.7398
01/02/1985,50.0362
01/03/1985,51.8238
01/04/1985,50.7111
01/05/1985,50.4983
01/06/1985,51.3874
01/07/1985,45.9818
01/08/1985,48.4828
01/09/1985,50.9995
01/10/1985,52.0842
01/11/1985,51.2363
01/12/1985,48.5927
01/01/1986,51.1249
01/02/1986,52.6012
01/03/1986,52.5414
01/04/1986,53.977
01/05/1986,53.0823
01/06/1986,54.8069
01/07/1986,48.7754
01/08/1986,51.4509
01/09/1986,55.0263
01/10/1986,56.4285
01/11/1986,54.7764
01/12/1986,52.5876
