DATE,DLTRUCKSNSA
01/01/1967,94.8
01/02/1967,89.7
01/03/1967,111.5
01/04/1967,100
01/05/1967,113.6
01/06/1967,121.1
01/07/1967,100.4
01/08/1967,94.2
01/09/1967,98.1
01/10/1967,94.8
01/11/1967,83.6
01/12/1967,92
01/01/1968,107.9
01/02/1968,108.2
01/03/1968,130.5
01/04/1968,118
01/05/1968,140.5
01/06/1968,132
01/07/1968,123.6
01/08/1968,109.7
01/09/1968,102.1
01/10/1968,151
01/11/1968,126
01/12/1968,114.7
01/01/1969,124.4
01/02/1969,130.5
01/03/1969,131.3
01/04/1969,135.9
01/05/1969,140.5
01/06/1969,146
01/07/1969,122.1
01/08/1969,111.6
01/09/1969,112.4
01/10/1969,148.4
01/11/1969,123.6
01/12/1969,124.4
01/01/1970,111.5
01/02/1970,119.8
01/03/1970,116.9
01/04/1970,128.8
01/05/1970,126.9
01/06/1970,154.2
01/07/1970,132.3
01/08/1970,112.3
01/09/1970,116.8
01/10/1970,122.1
01/11/1970,88.3
01/12/1970,78.6
01/01/1971,100.5
01/02/1971,116.9
01/03/1971,137.1
01/04/1971,146
01/05/1971,146.9
01/06/1971,163.7
01/07/1971,144.2
01/08/1971,117.5
01/09/1971,133.6
01/10/1971,170.7
01/11/1971,170
01/12/1971,145.9
01/01/1972,144.6
01/02/1972,187.7
01/03/1972,188.4
01/04/1972,183
01/05/1972,215.3
01/06/1972,211.6
01/07/1972,172.7
01/08/1972,140.6
01/09/1972,135.1
01/10/1972,184.2
01/11/1972,201.7
01/12/1972,157.6
01/01/1973,198
01/02/1973,203.4
01/03/1973,255.9
01/04/1973,211.7
01/05/1973,240.7
01/06/1973,217.4
01/07/1973,218.1
01/08/1973,191.3
01/09/1973,173.5
01/10/1973,222.6
01/11/1973,198
01/12/1973,178.8
01/01/1974,152.2
01/02/1974,168.2
01/03/1974,198.3
01/04/1974,209.2
01/05/1974,231.7
01/06/1974,221.6
01/07/1974,211.5
01/08/1974,213.6
01/09/1974,156.3
01/10/1974,154.1
01/11/1974,133
01/12/1974,130.4
01/01/1975,122.4
01/02/1975,127.9
01/03/1975,146.6
01/04/1975,168.5
01/05/1975,187
01/06/1975,185.6
01/07/1975,198.6
01/08/1975,162.1
01/09/1975,170
01/10/1975,208.2
01/11/1975,191
01/12/1975,184.7
01/01/1976,180.4
01/02/1976,210.2
01/03/1976,262.1
01/04/1976,242.1
01/05/1976,247.1
01/06/1976,260.3
01/07/1976,254.1
01/08/1976,215
01/09/1976,217.8
01/10/1976,220.6
01/11/1976,209.9
01/12/1976,218.7
01/01/1977,207.4
01/02/1977,238.1
01/03/1977,316.2
01/04/1977,274.5
01/05/1977,268.1
01/06/1977,292.4
01/07/1977,242.3
01/08/1977,251
01/09/1977,228.2
01/10/1977,279.7
01/11/1977,262.1
01/12/1977,252.8
01/01/1978,205.9
01/02/1978,250.8
01/03/1978,340
01/04/1978,314.7
01/05/1978,345
01/06/1978,359.3
01/07/1978,310.2
01/08/1978,307.9
01/09/1978,218.5
01/10/1978,298.9
01/11/1978,288.3
01/12/1978,241.6
01/01/1979,246.1
01/02/1979,247.9
01/03/1979,287.3
01/04/1979,243.2
01/05/1979,243.5
01/06/1979,216.1
01/07/1979,210.7
01/08/1979,229.2
01/09/1979,203.8
01/10/1979,238
01/11/1979,189.3
01/12/1979,175.1
01/01/1980,165
01/02/1980,154
01/03/1980,172.5
01/04/1980,141.7
01/05/1980,139.8
01/06/1980,171.1
01/07/1980,160.9
01/08/1980,126
01/09/1980,106.8
01/10/1980,137.3
01/11/1980,128.7
01/12/1980,127.3
01/01/1981,116.1
01/02/1981,127.8
01/03/1981,145.9
01/04/1981,146.9
01/05/1981,144.7
01/06/1981,160.3
01/07/1981,132.4
01/08/1981,145.6
01/09/1981,119.7
01/10/1981,124.8
01/11/1981,116.5
01/12/1981,101
01/01/1982,134.8
01/02/1982,161.1
01/03/1982,220.9
01/04/1982,162.7
01/05/1982,198.4
01/06/1982,170.7
01/07/1982,147.4
01/08/1982,133.6
01/09/1982,169.4
01/10/1982,132.9
01/11/1982,178.8
01/12/1982,156.8
01/01/1983,148.2
01/02/1983,155
01/03/1983,222.2
01/04/1983,204.5
01/05/1983,220.3
01/06/1983,244.4
01/07/1983,200.7
01/08/1983,180.4
01/09/1983,210
01/10/1983,217.9
01/11/1983,220.5
01/12/1983,241.1
01/01/1984,223.5
01/02/1984,252.6
01/03/1984,310.2
01/04/1984,284.5
01/05/1984,320.6
01/06/1984,286
01/07/1984,271.1
01/08/1984,226.4
01/09/1984,241.7
01/10/1984,289.4
01/11/1984,265.7
01/12/1984,235.5
01/01/1985,280.2
01/02/1985,292.8
01/03/1985,331
01/04/1985,300.4
01/05/1985,326.9
01/06/1985,323.7
01/07/1985,326.5
01/08/1985,262.2
01/09/1985,305.7
01/10/1985,294.6
01/11/1985,283.1
01/12/1985,291.3
01/01/1986,262.2
01/02/1986,264.7
01/03/1986,295
01/04/1986,315
01/05/1986,354.1
01/06/1986,333.9
01/07/1986,304
01/08/1986,299.1
01/09/1986,407.9
01/10/1986,271.9
01/11/1986,241.5
01/12/1986,322.1
01/01/1987,219.5
01/02/1987,284.7
01/03/1987,344.4
01/04/1987,338.9
01/05/1987,328
01/06/1987,376.3
01/07/1987,341.9
01/08/1987,324.9
01/09/1987,303
01/10/1987,305.7
01/11/1987,300.6
01/12/1987,324.1
01/01/1988,284.6
01/02/1988,348.3
01/03/1988,408
01/04/1988,350.7
01/05/1988,396.3
01/06/1988,396.2
01/07/1988,356.8
01/08/1988,343.9
01/09/1988,317.5
01/10/1988,339.9
01/11/1988,328.2
01/12/1988,329.3
01/01/1989,300.5
01/02/1989,313.6
01/03/1989,376.3
01/04/1989,369.4
01/05/1989,391.7
01/06/1989,359.9
01/07/1989,362.3
01/08/1989,382.9
01/09/1989,357.5
01/10/1989,298.1
01/11/1989,304.2
01/12/1989,297.2
01/01/1990,350.6
01/02/1990,293.8
01/03/1990,364
01/04/1990,351.3
01/05/1990,374.8
01/06/1990,366.3
01/07/1990,365.7
01/08/1990,327.7
01/09/1990,310.6
01/10/1990,308.4
01/11/1990,275.7
01/12/1990,267.9
01/01/1991,230.1
01/02/1991,251.1
01/03/1991,306.8
01/04/1991,305.7
01/05/1991,337.3
01/06/1991,339.8
01/07/1991,339
01/08/1991,299.1
01/09/1991,330.8
01/10/1991,284.2
01/11/1991,273.8
01/12/1991,307.9
01/01/1992,259.4
01/02/1992,290.4
01/03/1992,349.8
01/04/1992,372.3
01/05/1992,382.3
01/06/1992,417.1
01/07/1992,366.4
01/08/1992,367.7
01/09/1992,368.3
01/10/1992,381.1
01/11/1992,339.6
01/12/1992,352.6
01/01/1993,308.1
01/02/1993,334.6
01/03/1993,434.9
01/04/1993,446.3
01/05/1993,473.1
01/06/1993,487.7
01/07/1993,442.8
01/08/1993,402.1
01/09/1993,402
01/10/1993,413.2
01/11/1993,419.9
01/12/1993,435.8
01/01/1994,389.7
01/02/1994,423.8
01/03/1994,534.7
01/04/1994,493.9
01/05/1994,507.7
01/06/1994,538.2
01/07/1994,446.9
01/08/1994,472.4
01/09/1994,443.7
01/10/1994,484.6
01/11/1994,463.5
01/12/1994,459.1
01/01/1995,386.2
01/02/1995,420.6
01/03/1995,533.2
01/04/1995,465.7
01/05/1995,531.9
01/06/1995,554
01/07/1995,474.7
01/08/1995,489.9
01/09/1995,434.3
01/10/1995,462.7
01/11/1995,467.6
01/12/1995,485.1
01/01/1996,434.1
01/02/1996,492.8
01/03/1996,544.6
01/04/1996,534.4
01/05/1996,580.5
01/06/1996,542.4
01/07/1996,521.3
01/08/1996,512.8
01/09/1996,479.7
01/10/1996,556
01/11/1996,495.6
01/12/1996,485.6
01/01/1997,442.7
01/02/1997,469
01/03/1997,576.2
01/04/1997,537
01/05/1997,579.7
01/06/1997,541.4
01/07/1997,556.7
01/08/1997,521.4
01/09/1997,494.7
01/10/1997,537.9
01/11/1997,516.9
01/12/1997,551.1
01/01/1998,455.5
01/02/1998,489
01/03/1998,599.5
01/04/1998,596.6
01/05/1998,663.4
01/06/1998,701.4
01/07/1998,539.7
01/08/1998,494.6
01/09/1998,538.5
01/10/1998,597
01/11/1998,532.6
01/12/1998,594.2
01/01/1999,492.4
01/02/1999,563.7
01/03/1999,684.9
01/04/1999,613
01/05/1999,693.7
01/06/1999,717.9
01/07/1999,653.5
01/08/1999,616.4
01/09/1999,623.6
01/10/1999,602.3
01/11/1999,574.5
01/12/1999,644.8
01/01/2000,529
01/02/2000,670.6
01/03/2000,761.3
01/04/2000,656.4
01/05/2000,714.5
01/06/2000,703.9
01/07/2000,621
01/08/2000,664.4
01/09/2000,660.1
01/10/2000,607.8
01/11/2000,569.5
01/12/2000,561.2
01/01/2001,516.6
01/02/2001,590.5
01/03/2001,728.5
01/04/2001,587.5
01/05/2001,704.4
01/06/2001,729.9
01/07/2001,605.6
01/08/2001,632.7
01/09/2001,578.4
01/10/2001,820.1
01/11/2001,643.1
01/12/2001,651.7
01/01/2002,508.15
01/02/2002,610.897
01/03/2002,683.902
01/04/2002,644.514
01/05/2002,662.977
01/06/2002,690.402
01/07/2002,691.203
01/08/2002,773.847
01/09/2002,550.079
