#monthly_date,#quarterly_date,#monthly_manorder,#quarters,#quarterly_manorder
01/02/1992,1992 Q1,33786,1992 Q1,71732
01/03/1992,1992 Q1,37946,1992 Q2,112438
01/04/1992,1992 Q2,38536,1992 Q3,84116
01/05/1992,1992 Q2,37158,1992 Q4,113514
01/06/1992,1992 Q2,36744,1993 Q1,111154
01/07/1992,1992 Q3,22864,1993 Q2,112464
01/08/1992,1992 Q3,29154,1993 Q3,90673
01/09/1992,1992 Q3,32098,1993 Q4,113675
01/10/1992,1992 Q4,42089,1994 Q1,125372
01/11/1992,1992 Q4,33211,1994 Q2,123058
01/12/1992,1992 Q4,38214,1994 Q3,107911
01/01/1993,1993 Q1,31466,1994 Q4,130912
01/02/1993,1993 Q1,40316,1995 Q1,135139
01/03/1993,1993 Q1,39372,1995 Q2,125340
01/04/1993,1993 Q2,36553,1995 Q3,114898
01/05/1993,1993 Q2,34546,1995 Q4,132756
01/06/1993,1993 Q2,41365,1996 Q1,144426
01/07/1993,1993 Q3,23917,1996 Q2,139345
01/08/1993,1993 Q3,33047,1996 Q3,120934
01/09/1993,1993 Q3,33709,1996 Q4,147319
01/10/1993,1993 Q4,38560,1997 Q1,142685
01/11/1993,1993 Q4,36824,1997 Q2,143849
01/12/1993,1993 Q4,38291,1997 Q3,130310
01/01/1994,1994 Q1,41323,1997 Q4,164936
01/02/1994,1994 Q1,40938,1998 Q1,153206
01/03/1994,1994 Q1,43111,1998 Q2,148985
01/04/1994,1994 Q2,39559,1998 Q3,136753
01/05/1994,1994 Q2,40239,1998 Q4,161261
01/06/1994,1994 Q2,43260,1999 Q1,176202
01/07/1994,1994 Q3,25996,1999 Q2,163103
01/08/1994,1994 Q3,40096,1999 Q3,148966
01/09/1994,1994 Q3,41819,1999 Q4,171944
01/10/1994,1994 Q4,42489,2000 Q1,172661
01/11/1994,1994 Q4,43992,2000 Q2,184932
01/12/1994,1994 Q4,44431,2000 Q3,145431
01/01/1995,1995 Q1,39253,2000 Q4,160302
01/02/1995,1995 Q1,47167,2001 Q1,157661
01/03/1995,1995 Q1,48719,2001 Q2,157207
01/04/1995,1995 Q2,40086,2001 Q3,128544
01/05/1995,1995 Q2,41628,2001 Q4,155256
01/06/1995,1995 Q2,43626,2002 Q1,163901
01/07/1995,1995 Q3,25827,2002 Q2,157260
01/08/1995,1995 Q3,40881,2002 Q3,153759
01/09/1995,1995 Q3,48190,2002 Q4,159422
01/10/1995,1995 Q4,41203,2003 Q1,170843
01/11/1995,1995 Q4,44029,2003 Q2,168651
01/12/1995,1995 Q4,47524,2003 Q3,150105
01/01/1996,1996 Q1,45547,2003 Q4,179243
01/02/1996,1996 Q1,44641,2004 Q1,179043
01/03/1996,1996 Q1,54238,2004 Q2,170709
01/04/1996,1996 Q2,43164,2004 Q3,155796
01/05/1996,1996 Q2,48223,2004 Q4,176447
01/06/1996,1996 Q2,47958,2005 Q1,166903
01/07/1996,1996 Q3,31946,2005 Q2,196903
01/08/1996,1996 Q3,38552,2005 Q3,169467
01/09/1996,1996 Q3,50436,2005 Q4,221982
01/10/1996,1996 Q4,47652,2006 Q1,202182
01/11/1996,1996 Q4,51573,2006 Q2,192029
01/12/1996,1996 Q4,48094,2006 Q3,187184
01/01/1997,1997 Q1,45599,2006 Q4,218549
01/02/1997,1997 Q1,48844,2007 Q1,207016
01/03/1997,1997 Q1,48242,2007 Q2,216660
01/04/1997,1997 Q2,47832,2007 Q3,210053
01/05/1997,1997 Q2,45315,2007 Q4,237320
01/06/1997,1997 Q2,50702,2008 Q1,214658
01/07/1997,1997 Q3,32784,2008 Q2,186957
01/08/1997,1997 Q3,47861,2008 Q3,165931
01/09/1997,1997 Q3,49665,2008 Q4,158360
01/10/1997,1997 Q4,53765,2009 Q1,98652
01/11/1997,1997 Q4,61921,2009 Q2,96104
01/12/1997,1997 Q4,49250,2009 Q3,108038
01/01/1998,1998 Q1,47503,2009 Q4,126925
01/02/1998,1998 Q1,52134,2010 Q1,147974
01/03/1998,1998 Q1,53569,2010 Q2,150178
01/04/1998,1998 Q2,53905,2010 Q3,164435
01/05/1998,1998 Q2,49628,2010 Q4,175607
