DATE,NATURALGAS
01/01/2000,2510.5
01/02/2000,2330.7
01/03/2000,2050.6
01/04/2000,1783.3
01/05/2000,1632.9
01/06/2000,1513.1
01/07/2000,1525.6
01/08/2000,1653.1
01/09/2000,1475
01/10/2000,1567.9
01/11/2000,1908.5
01/12/2000,2587.5
01/01/2001,2677
01/02/2001,2309.5
01/03/2001,2246.6
01/04/2001,1807.2
01/05/2001,1522.4
01/06/2001,1444.4
01/07/2001,1598.1
01/08/2001,1669.2
01/09/2001,1494.1
01/10/2001,1649.1
01/11/2001,1701
01/12/2001,2120.2
01/01/2002,2487.6
01/02/2002,2242.4
01/03/2002,2258.4
01/04/2002,1881
01/05/2002,1611.5
01/06/2002,1591.4
01/07/2002,1748.4
01/08/2002,1725.7
01/09/2002,1542.2
01/10/2002,1645.9
01/11/2002,1913.6
01/12/2002,2378.9
01/01/2003,2700.6
01/02/2003,2500.3
01/03/2003,2197.9
01/04/2003,1743.5
01/05/2003,1514.7
01/06/2003,1368.4
01/07/2003,1600.5
01/08/2003,1651.6
01/09/2003,1428.6
01/10/2003,1553.2
01/11/2003,1753.6
01/12/2003,2263.7
01/01/2004,2675.8
01/02/2004,2511.1
01/03/2004,2100.9
01/04/2004,1745.2
01/05/2004,1573
01/06/2004,1483.7
01/07/2004,1584.9
01/08/2004,1578
01/09/2004,1482.2
01/10/2004,1557.2
01/11/2004,1782.8
01/12/2004,2327.7
01/01/2005,2561.9
01/02/2005,2243
01/03/2005,2205.8
01/04/2005,1724.9
01/05/2005,1522.6
01/06/2005,1534.1
01/07/2005,1686.6
01/08/2005,1695.1
01/09/2005,1422.5
01/10/2005,1428.2
01/11/2005,1663.4
01/12/2005,2326.4
01/01/2006,2165.3
01/02/2006,2144.4
01/03/2006,2126.4
01/04/2006,1681
01/05/2006,1526.3
01/06/2006,1550.9
01/07/2006,1758.7
01/08/2006,1751.7
01/09/2006,1462.1
01/10/2006,1644.2
01/11/2006,1765.4
01/12/2006,2122.8
01/01/2007,2475.6
01/02/2007,2567
01/03/2007,2128.9
01/04/2007,1810.1
01/05/2007,1559.1
01/06/2007,1555.2
01/07/2007,1659.9
01/08/2007,1896.1
01/09/2007,1590.5
01/10/2007,1627.8
01/11/2007,1834.5
01/12/2007,2399.2
01/01/2008,2734
01/02/2008,2503.4
01/03/2008,2278.2
01/04/2008,1823.9
01/05/2008,1576.4
01/06/2008,1604.3
01/07/2008,1708.6
01/08/2008,1682.9
01/09/2008,1460.9
01/10/2008,1635.8
