DATE,PERMITNSA
01/01/1959,75.7
01/02/1959,79
01/03/1959,119
01/04/1959,127.9
01/05/1959,120.8
01/06/1959,120.9
01/07/1959,112.3
01/08/1959,106.4
01/09/1959,102.5
01/10/1959,94.6
01/11/1959,75.8
01/12/1959,73.5
01/01/1960,62.6
01/02/1960,68.1
01/03/1960,89
01/04/1960,101.1
01/05/1960,103.4
01/06/1960,94.8
01/07/1960,86.3
01/08/1960,93.7
01/09/1960,84.9
01/10/1960,81.6
01/11/1960,73.9
01/12/1960,58.7
01/01/1961,59.7
01/02/1961,58.8
01/03/1961,92.7
01/04/1961,94
01/05/1961,105.3
01/06/1961,104.5
01/07/1961,92.8
01/08/1961,108.6
01/09/1961,90.4
01/10/1961,98.3
01/11/1961,87.4
01/12/1961,71.7
01/01/1962,73.2
01/02/1962,74.6
01/03/1962,101.4
01/04/1962,120.8
01/05/1962,117.5
01/06/1962,107
01/07/1962,105.8
01/08/1962,111
01/09/1962,95.2
01/10/1962,107.6
01/11/1962,94.5
01/12/1962,78
01/01/1963,84.4
01/02/1963,78.7
01/03/1963,108.8
01/04/1963,131.5
01/05/1963,138.7
01/06/1963,118.7
01/07/1963,121.9
01/08/1963,115
01/09/1963,114.7
01/10/1963,127.8
01/11/1963,98.6
01/12/1963,96.1
01/01/1964,86.4
01/02/1964,90.9
01/03/1964,119.2
01/04/1964,128.8
01/05/1964,122.9
01/06/1964,124.8
01/07/1964,119.5
01/08/1964,108.4
01/09/1964,107.6
01/10/1964,106.6
01/11/1964,90.6
01/12/1964,80
01/01/1965,74.3
01/02/1965,75.4
01/03/1965,115.7
01/04/1965,120.6
01/05/1965,115
01/06/1965,122
01/07/1965,108.6
01/08/1965,108.9
01/09/1965,104.2
01/10/1965,105.7
01/11/1965,99.3
01/12/1965,90.1
01/01/1966,76
01/02/1966,73.1
01/03/1966,117.8
01/04/1966,114.1
01/05/1966,107
01/06/1966,95
01/07/1966,77.4
01/08/1966,79.3
01/09/1966,65.9
01/10/1966,61.3
01/11/1966,56.1
01/12/1966,48.9
01/01/1967,58.5
01/02/1967,57
01/03/1967,91.4
01/04/1967,99.5
01/05/1967,111.2
01/06/1967,115.5
01/07/1967,97.1
01/08/1967,110.6
01/09/1967,103.4
01/10/1967,111.8
01/11/1967,99.8
01/12/1967,85.2
01/01/1968,74.4
01/02/1968,90.2
01/03/1968,117.5
01/04/1968,134.8
01/05/1968,132.8
01/06/1968,116.2
01/07/1968,120.1
01/08/1968,115.7
01/09/1968,118.2
01/10/1968,129.9
01/11/1968,106.1
01/12/1968,97.3
01/01/1969,94.1
01/02/1969,96.2
01/03/1969,121.7
01/04/1969,149.3
01/05/1969,128.6
01/06/1969,125.5
01/07/1969,114
01/08/1969,106.1
01/09/1969,106.8
01/10/1969,111.1
01/11/1969,84.4
01/12/1969,85.9
01/01/1970,67.5
01/02/1970,72.9
01/03/1970,99.5
01/04/1970,125.5
01/05/1970,122
01/06/1970,129
01/07/1970,118.3
01/08/1970,113.7
01/09/1970,121
01/10/1970,136.3
01/11/1970,113.1
01/12/1970,132.6
01/01/1971,98.8
01/02/1971,104.1
01/03/1971,157.6
01/04/1971,175.3
01/05/1971,180.9
01/06/1971,186
01/07/1971,177.6
01/08/1971,174.5
01/09/1971,168.6
01/10/1971,169
01/11/1971,165.1
01/12/1971,167.1
01/01/1972,137.3
01/02/1972,148.1
01/03/1972,191.1
01/04/1972,191.8
01/05/1972,206.9
01/06/1972,214.6
01/07/1972,179.6
01/08/1972,206.4
01/09/1972,190.6
01/10/1972,201.1
01/11/1972,176.8
01/12/1972,174.6
01/01/1973,152.1
01/02/1973,145.7
01/03/1973,184.4
01/04/1973,185.4
01/05/1973,191.7
01/06/1973,193.7
01/07/1973,157.3
