DATE,HTRUCKSNSA
01/01/1967,26.9
01/02/1967,25.3
01/03/1967,33
01/04/1967,29
01/05/1967,32.1
01/06/1967,33.7
01/07/1967,27.1
01/08/1967,27.2
01/09/1967,24.6
01/10/1967,27.4
01/11/1967,21.7
01/12/1967,21.7
01/01/1968,24.7
01/02/1968,27.9
01/03/1968,32.4
01/04/1968,28.7
01/05/1968,33.2
01/06/1968,32.1
01/07/1968,29.9
01/08/1968,27.9
01/09/1968,25
01/10/1968,30.4
01/11/1968,25.3
01/12/1968,25.8
01/01/1969,29.3
01/02/1969,31.9
01/03/1969,32.5
01/04/1969,33.8
01/05/1969,34.8
01/06/1969,37.6
01/07/1969,32
01/08/1969,31.9
01/09/1969,30.5
01/10/1969,35.6
01/11/1969,25.5
01/12/1969,29.1
01/01/1970,25.2
01/02/1970,30.9
01/03/1970,30.1
01/04/1970,31.5
01/05/1970,30
01/06/1970,35.1
01/07/1970,29
01/08/1970,27.4
01/09/1970,27.8
01/10/1970,29.8
01/11/1970,20.1
01/12/1970,20.4
01/01/1971,21.9
01/02/1971,24.5
01/03/1971,27.3
01/04/1971,29.6
01/05/1971,28.3
01/06/1971,32.7
01/07/1971,30.4
01/08/1971,25.9
01/09/1971,29.6
01/10/1971,32.4
01/11/1971,27.4
01/12/1971,28.9
01/01/1972,28.8
01/02/1972,33
01/03/1972,35.9
01/04/1972,37.4
01/05/1972,39.9
01/06/1972,41.1
01/07/1972,39.1
01/08/1972,37.4
01/09/1972,33.6
01/10/1972,38.1
01/11/1972,35.7
01/12/1972,37.4
01/01/1973,35.5
01/02/1973,36.8
01/03/1973,50.1
01/04/1973,46.6
01/05/1973,48.2
01/06/1973,46.4
01/07/1973,42
01/08/1973,39.8
01/09/1973,36.7
01/10/1973,40.4
01/11/1973,35.8
01/12/1973,37.4
01/01/1974,29.7
01/02/1974,32.9
01/03/1974,39.3
01/04/1974,42.6
01/05/1974,39.3
01/06/1974,39.9
01/07/1974,32.7
01/08/1974,36
01/09/1974,37.5
01/10/1974,35.4
01/11/1974,27
01/12/1974,31.6
01/01/1975,23.3
01/02/1975,23.1
01/03/1975,26.8
01/04/1975,25.6
01/05/1975,25
01/06/1975,25.3
01/07/1975,29
01/08/1975,26.6
01/09/1975,25.1
01/10/1975,29.3
01/11/1975,19.6
01/12/1975,19.6
01/01/1976,20.6
01/02/1976,21.4
01/03/1976,27.5
01/04/1976,28
01/05/1976,27.1
01/06/1976,29.8
01/07/1976,32.2
01/08/1976,31.2
01/09/1976,33
01/10/1976,25.7
01/11/1976,22.4
01/12/1976,25.8
01/01/1977,24.9
01/02/1977,26.7
01/03/1977,37.1
01/04/1977,34.1
01/05/1977,32.4
01/06/1977,35.3
01/07/1977,30.7
01/08/1977,33.3
01/09/1977,30.8
01/10/1977,34.8
01/11/1977,27.5
01/12/1977,29.5
01/01/1978,25.1
01/02/1978,28.2
01/03/1978,44.1
01/04/1978,38.1
01/05/1978,41
01/06/1978,43.9
01/07/1978,40.5
01/08/1978,33.2
01/09/1978,36.1
01/10/1978,40.5
01/11/1978,32.1
01/12/1978,37
01/01/1979,31.2
01/02/1979,33.4
01/03/1979,41.9
01/04/1979,38.2
01/05/1979,35.9
01/06/1979,34
01/07/1979,36.8
01/08/1979,31
01/09/1979,27
01/10/1979,34.3
01/11/1979,24.1
01/12/1979,22.3
01/01/1980,24.2
01/02/1980,23.2
01/03/1980,25.8
01/04/1980,22.1
01/05/1980,20
01/06/1980,23.2
01/07/1980,27.2
01/08/1980,25.1
01/09/1980,23.9
01/10/1980,24.1
01/11/1980,15.5
01/12/1980,17.4
01/01/1981,18.9
01/02/1981,16.9
01/03/1981,21.9
01/04/1981,25.4
01/05/1981,18.4
01/06/1981,18.5
01/07/1981,21.5
01/08/1981,18.9
01/09/1981,18.2
01/10/1981,18.3
01/11/1981,12.7
01/12/1981,16.7
01/01/1982,16
01/02/1982,14.2
01/03/1982,17.9
01/04/1982,18.9
01/05/1982,17
01/06/1982,17.1
01/07/1982,16.5
01/08/1982,14.1
01/09/1982,14.7
01/10/1982,13.4
01/11/1982,10.5
01/12/1982,14.6
01/01/1983,13.5
01/02/1983,11.8
01/03/1983,17.4
01/04/1983,15.2
01/05/1983,13.9
01/06/1983,15.9
01/07/1983,16.8
01/08/1983,16.7
01/09/1983,16.7
01/10/1983,17.3
01/11/1983,14.6
01/12/1983,19
01/01/1984,15.9
01/02/1984,18.6
01/03/1984,21.8
01/04/1984,23.7
01/05/1984,25.2
01/06/1984,25.2
01/07/1984,27
01/08/1984,23
01/09/1984,24.5
01/10/1984,26.3
01/11/1984,22.4
01/12/1984,24.6
01/01/1985,22.6
01/02/1985,20.3
01/03/1985,26.8
01/04/1985,27.4
01/05/1985,26
01/06/1985,25.7
01/07/1985,25
01/08/1985,22.8
01/09/1985,24.8
01/10/1985,26.2
01/11/1985,19.9
01/12/1985,27.5
01/01/1986,20.8
01/02/1986,17.4
01/03/1986,23.1
01/04/1986,25.3
01/05/1986,23.2
01/06/1986,25.3
01/07/1986,24
01/08/1986,21.6
01/09/1986,23.1
01/10/1986,24.7
01/11/1986,19.3
01/12/1986,25.7
01/01/1987,19.1
01/02/1987,19.8
01/03/1987,24.8
01/04/1987,27.1
01/05/1987,24.7
01/06/1987,25.1
01/07/1987,24.9
01/08/1987,24.2
01/09/1987,24.9
01/10/1987,24.9
01/11/1987,22.6
01/12/1987,25.2
01/01/1988,21.6
01/02/1988,25.9
01/03/1988,30.8
01/04/1988,30.5
01/05/1988,28.9
01/06/1988,29.7
01/07/1988,28.1
01/08/1988,26.3
01/09/1988,27.8
01/10/1988,30.2
01/11/1988,25.9
01/12/1988,28.6
01/01/1989,25.4
01/02/1989,23.2
01/03/1989,27.7
01/04/1989,28.7
01/05/1989,28.7
01/06/1989,28.7
01/07/1989,26.9
01/08/1989,26.9
01/09/1989,24.2
01/10/1989,27.2
01/11/1989,21.7
01/12/1989,22.7
01/01/1990,21.8
01/02/1990,21.4
01/03/1990,25.3
01/04/1990,24.8
01/05/1990,24.6
01/06/1990,24.7
01/07/1990,26.1
01/08/1990,23.5
01/09/1990,21.8
01/10/1990,23.9
01/11/1990,18.3
01/12/1990,21.3
01/01/1991,17.1
01/02/1991,16.9
01/03/1991,20.1
01/04/1991,20
01/05/1991,19
01/06/1991,18.6
01/07/1991,21
01/08/1991,17.5
01/09/1991,17.8
01/10/1991,18.1
01/11/1991,14.8
01/12/1991,20.1
01/01/1992,16.7
01/02/1992,16.8
01/03/1992,20.2
01/04/1992,23
01/05/1992,19.8
01/06/1992,21.9
01/07/1992,22.5
01/08/1992,20.5
01/09/1992,21.8
01/10/1992,24.8
01/11/1992,18.3
01/12/1992,23
01/01/1993,18.1
01/02/1993,19.6
01/03/1993,26.2
01/04/1993,27.7
01/05/1993,25.7
01/06/1993,29.3
01/07/1993,26.4
01/08/1993,25.4
01/09/1993,26.1
01/10/1993,25.5
01/11/1993,25
01/12/1993,27.8
01/01/1994,23.6
01/02/1994,23.7
01/03/1994,30.2
01/04/1994,30.5
01/05/1994,28.1
01/06/1994,33.9
01/07/1994,28.8
01/08/1994,32.2
01/09/1994,29.8
01/10/1994,31.3
01/11/1994,28.7
01/12/1994,32
01/01/1995,30.5
01/02/1995,29.6
01/03/1995,36.7
01/04/1995,34.7
01/05/1995,35.3
01/06/1995,37.6
01/07/1995,30.4
01/08/1995,31.5
01/09/1995,30.1
01/10/1995,33
01/11/1995,27.5
01/12/1995,31.5
01/01/1996,26.5
01/02/1996,28.7
01/03/1996,31.9
01/04/1996,32.9
01/05/1996,33.9
01/06/1996,35.2
01/07/1996,32.3
01/08/1996,30.3
01/09/1996,27.4
01/10/1996,29.9
01/11/1996,23.2
01/12/1996,26.9
01/01/1997,25.4
01/02/1997,26.2
01/03/1997,33
01/04/1997,33.9
01/05/1997,33.1
01/06/1997,31.6
01/07/1997,32
01/08/1997,31.1
01/09/1997,31.1
01/10/1997,35.3
01/11/1997,28.3
01/12/1997,35.2
01/01/1998,27
01/02/1998,29
01/03/1998,36.7
01/04/1998,37.8
01/05/1998,35.1
01/06/1998,37.1
01/07/1998,35.3
01/08/1998,36
01/09/1998,36.5
01/10/1998,39
01/11/1998,35.3
01/12/1998,39.5
01/01/1999,33
01/02/1999,38.9
01/03/1999,47.8
01/04/1999,47.4
01/05/1999,44.2
01/06/1999,47.9
01/07/1999,42.5
01/08/1999,43.8
01/09/1999,44.3
01/10/1999,44.9
01/11/1999,41.4
01/12/1999,45.2
01/01/2000,34.5
01/02/2000,39.5
01/03/2000,49.5
01/04/2000,43.5
01/05/2000,45.2
01/06/2000,48.8
01/07/2000,36.6
01/08/2000,39.2
01/09/2000,31.9
01/10/2000,33.7
01/11/2000,28.6
01/12/2000,30.9
01/01/2001,28.4
01/02/2001,28.4
01/03/2001,34.2
01/04/2001,30.7
01/05/2001,35.4
01/06/2001,32.6
01/07/2001,27.7
01/08/2001,29.7
01/09/2001,23.4
01/10/2001,30.8
01/11/2001,23.4
01/12/2001,25.4
01/01/2002,21.517
01/02/2002,21.752
01/03/2002,26.485
01/04/2002,30.007
01/05/2002,31.736
01/06/2002,27.43
01/07/2002,27.574
01/08/2002,29.361
01/09/2002,27.096
01/10/2002,29.977
01/11/2002,24.464
01/12/2002,24.885
01/01/2003,20.08
01/02/2003,21.601
01/03/2003,25.138
01/04/2003,28.585
01/05/2003,27.594
01/06/2003,28.431
01/07/2003,29.292
01/08/2003,27.256
01/09/2003,28.223
01/10/2003,30.897
01/11/2003,26.679
01/12/2003,34.613
01/01/2004,27.147
01/02/2004,29.207
01/03/2004,37.601
01/04/2004,36.256
01/05/2004,35.599
01/06/2004,37.114
01/07/2004,36.233
01/08/2004,37.218
01/09/2004,36.463
01/10/2004,38.266
01/11/2004,35.032
01/12/2004,45.517
01/01/2005,35.34
01/02/2005,35.391
01/03/2005,43.398
01/04/2005,42.644
01/05/2005,41.541
01/06/2005,46.25
01/07/2005,41.388
01/08/2005,43.336
01/09/2005,40.974
01/10/2005,41.088
01/11/2005,39.219
01/12/2005,46.006
01/01/2006,36.236
01/02/2006,40.948
01/03/2006,50.987
01/04/2006,46.025
01/05/2006,48.774
01/06/2006,49.349
01/07/2006,41.517
01/08/2006,47.497
01/09/2006,43.733
01/10/2006,47.502
01/11/2006,41.689
01/12/2006,50.324
01/01/2007,36.826
01/02/2007,34.034
01/03/2007,37.965
01/04/2007,33.563
01/05/2007,31.54
01/06/2007,31.06
01/07/2007,26.754
01/08/2007,29.163
01/09/2007,25.363
01/10/2007,29.944
01/11/2007,25.148
01/12/2007,29.733
01/01/2008,24.282
01/02/2008,24.751
01/03/2008,27.066
01/04/2008,29.492
01/05/2008,27.661
01/06/2008,27.267
01/07/2008,23.741
01/08/2008,22.315
01/09/2008,22.286
01/10/2008,24.434
01/11/2008,20.327
01/12/2008,24.802
01/01/2009,15.573
01/02/2009,14.461
01/03/2009,17.667
01/04/2009,15.263
01/05/2009,14.508
01/06/2009,17.449
01/07/2009,16.07
01/08/2009,14.608
01/09/2009,15.435
01/10/2009,18.251
01/11/2009,17.387
01/12/2009,23.014
01/01/2010,15.898
01/02/2010,14.905
01/03/2010,20.321
01/04/2010,16.91
01/05/2010,16.815
01/06/2010,19.167
01/07/2010,18.742
01/08/2010,17.238
01/09/2010,18.012
01/10/2010,18.522
01/11/2010,18.405
01/12/2010,22.767
01/01/2011,18.228
01/02/2011,19.139
01/03/2011,25.522
01/04/2011,23.047
01/05/2011,25.136
01/06/2011,27.475
01/07/2011,23.653
01/08/2011,27.682
01/09/2011,27.34
01/10/2011,29.062
01/11/2011,26.724
01/12/2011,33.562
01/01/2012,24.294
01/02/2012,26.96
01/03/2012,31.839
01/04/2012,28.805
01/05/2012,31.453
01/06/2012,30.411
01/07/2012,28.96
01/08/2012,30.362
01/09/2012,26.537
01/10/2012,28.85
01/11/2012,25.783
01/12/2012,32.027
01/01/2013,24.99
01/02/2013,24.836
01/03/2013,25.773
01/04/2013,30.565
01/05/2013,30.366
01/06/2013,31.528
01/07/2013,29.586
01/08/2013,28.82
01/09/2013,28.551
01/10/2013,33.87
01/11/2013,27.78
01/12/2013,35.946
01/01/2014,26.642
01/02/2014,27.063
01/03/2014,32.266
01/04/2014,34.403
01/05/2014,33.764
01/06/2014,34.195
01/07/2014,36.346
01/08/2014,35.643
01/09/2014,36.497
01/10/2014,38.631
01/11/2014,30.011
01/12/2014,42.192
01/01/2015,30.735
01/02/2015,31.254
01/03/2015,38.044
01/04/2015,36.231
01/05/2015,37.11
01/06/2015,43.508
01/07/2015,40.647
01/08/2015,38.961
01/09/2015,37.514
01/10/2015,38.91
01/11/2015,35.279
01/12/2015,41.14
01/01/2016,31.351
01/02/2016,33.125
01/03/2016,40.383
01/04/2016,34.402
01/05/2016,33.951
01/06/2016,35.723
01/07/2016,30.146
01/08/2016,33.556
01/09/2016,32.357
01/10/2016,29.885
01/11/2016,29.752
01/12/2016,36.365
01/01/2017,25.726
01/02/2017,27.968
01/03/2017,35.155
01/04/2017,32.019
01/05/2017,34.55
01/06/2017,37.66
01/07/2017,32.371
01/08/2017,38.176
01/09/2017,36.057
01/10/2017,36.494
01/11/2017,35.332
01/12/2017,43.534
01/01/2018,30.704
01/02/2018,34.377
01/03/2018,40.519
01/04/2018,37.68
01/05/2018,39.991
01/06/2018,42.948
01/07/2018,40.154
01/08/2018,45.201
01/09/2018,42.861
01/10/2018,45.627
01/11/2018,39.666
01/12/2018,48.128
01/01/2019,38.338
01/02/2019,36.765
01/03/2019,43.935
01/04/2019,46.141
01/05/2019,46.595
01/06/2019,45.073
01/07/2019,47.443
01/08/2019,46.617
01/09/2019,48.528
01/10/2019,46.179
01/11/2019,35.291
01/12/2019,46.187
01/01/2020,31.897
01/02/2020,33.144
01/03/2020,33.363
01/04/2020,27.954
01/05/2020,23.616
01/06/2020,30.405
01/07/2020,31.812
01/08/2020,36.327
01/09/2020,38.577
01/10/2020,40.383
01/11/2020,36.121
01/12/2020,45.909
01/01/2021,35.423
01/02/2021,32.938
01/03/2021,45.597
01/04/2021,38.737
01/05/2021,38.315
01/06/2021,40.786
01/07/2021,35.894
01/08/2021,36.304
01/09/2021,37.03
01/10/2021,38.333
01/11/2021,35.193
01/12/2021,47.042
01/01/2022,30.761
01/02/2022,32.245
01/03/2022,41.344
01/04/2022,35.456
01/05/2022,37.56
01/06/2022,40.617
01/07/2022,38.168
01/08/2022,43.801
01/09/2022,41.718
01/10/2022,43.139
01/11/2022,41.072
01/12/2022,50.104
01/01/2023,36.457
01/02/2023,36.872
01/03/2023,44.67
01/04/2023,41.868
01/05/2023,45.783
01/06/2023,46.289
01/07/2023,40.633
01/08/2023,46.38
01/09/2023,42.401
01/10/2023,40.835
01/11/2023,38.405
01/12/2023,46.196
01/01/2024,36.882
01/02/2024,36.641
